49,BTSG,"R$ 139,08","0,92",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BTSG11
50,BTSI,"R$ 105,50","0,74",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BTSI11
51,CRFF,"R$ 79,98","0,61",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CRFF11
52,CXRI,"R$ 79,99","0,58",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CXRI11
53,CPOF,"R$ 106,00","0,75",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CPOF11
54,CPFF,"R$ 75,49","0,70",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CPFF11
55,CPTS,"R$ 8,53","0,08",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CPTS11
56,CPSH,"R$ 108,14","1,00",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CPSH11
57,CACR,"R$ 103,79","1,35",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CACR11
58,CBOP,"R$ 29,13","0,12",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CBOP11
59,BLCA,"R$ 115,00","0,49",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BLCA11
60,CENU,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CENU11
61,CFHI,"R$ 800,00","76,00",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CFHI11
62,CFII,"R$ 1.000,00","64,60",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CFII11
63,CJCT,"R$ 63,50","0,09",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CJCT11
64,CIXM,"R$ 0,00","0,06",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CIXM11
65,CIXR,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CIXR11
66,CLIN,"R$ 95,71","1,00",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CLIN11
67,CSMC,"R$ 0,00","18,41",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CSMC11
68,HGFF,"R$ 90,67","0,70",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/HGFF11
69,HGLG,"R$ 168,01","1,10",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/HGLG11
